neutral,home_score,away_score
FALSE,3,1
FALSE,1,0
FALSE,1,2
FALSE,1,3
FALSE,0,4
FALSE,5,2
FALSE,0,1
FALSE,2,2
FALSE,1,0
FALSE,4,0
FALSE,0,2
FALSE,1,0
FALSE,0,0
FALSE,0,1
FALSE,1,2
FALSE,2,1
FALSE,0,4
FALSE,2,2
FALSE,3,1
FALSE,0,0
FALSE,1,0
FALSE,2,0
FALSE,0,1
FALSE,10,0
FALSE,3,2
FALSE,4,5
FALSE,1,1
FALSE,3,0
FALSE,0,0
FALSE,0,2
FALSE,4,1
FALSE,2,2
FALSE,0,2
FALSE,5,0
FALSE,2,0
FALSE,1,2
FALSE,8,1
FALSE,1,0
FALSE,1,2
FALSE,0,0
FALSE,0,3
FALSE,0,1
FALSE,1,1
FALSE,3,1
FALSE,4,0
FALSE,1,0
FALSE,1,2
FALSE,1,1
FALSE,1,2
FALSE,6,0
FALSE,6,1
FALSE,0,1
FALSE,0,1
FALSE,3,1
FALSE,7,0
FALSE,2,0
FALSE,3,0
FALSE,2,1
FALSE,1,0
FALSE,1,1
FALSE,1,1
FALSE,0,1
FALSE,2,0
FALSE,2,1
FALSE,2,0
FALSE,2,1
FALSE,2,0
FALSE,0,0
FALSE,4,0
FALSE,3,1
FALSE,0,2
FALSE,1,0
FALSE,4,0
FALSE,1,1
FALSE,2,0
FALSE,2,2
FALSE,2,1
FALSE,2,2
FALSE,9,0
FALSE,2,0
FALSE,1,0
FALSE,1,1
FALSE,1,0
FALSE,0,0
FALSE,2,0
FALSE,1,0
FALSE,0,0
FALSE,4,0
FALSE,1,1
FALSE,0,0
FALSE,2,2
FALSE,2,0
FALSE,2,0
FALSE,1,5
FALSE,1,0
FALSE,2,1
FALSE,4,2
FALSE,0,2
FALSE,1,0
FALSE,0,2
FALSE,1,1
FALSE,4,2
FALSE,0,2
FALSE,5,1
FALSE,2,2
FALSE,1,0
FALSE,1,2
FALSE,4,1
FALSE,0,1
FALSE,1,4
FALSE,3,1
FALSE,0,1
FALSE,1,1
FALSE,1,1
FALSE,2,0
FALSE,1,3
FALSE,2,1
FALSE,2,0
FALSE,2,1
FALSE,0,0
FALSE,2,0
FALSE,2,2
FALSE,3,0
FALSE,1,1
FALSE,0,1
FALSE,2,0
FALSE,2,1
FALSE,2,0
FALSE,0,1
FALSE,2,0
FALSE,0,0
FALSE,3,0
FALSE,2,0
FALSE,2,1
FALSE,1,0
FALSE,2,2
FALSE,3,0
FALSE,3,1
FALSE,2,1
FALSE,2,1
FALSE,5,0
FALSE,0,1
FALSE,2,4
FALSE,3,0
FALSE,0,1
FALSE,0,1
FALSE,1,0
FALSE,0,0
FALSE,0,2
FALSE,1,0
FALSE,4,1
FALSE,2,1
FALSE,1,2
FALSE,2,2
FALSE,2,2
FALSE,1,0
FALSE,1,4
FALSE,1,3
FALSE,1,2
FALSE,0,1
FALSE,5,2
FALSE,2,2
FALSE,3,1
FALSE,2,1
FALSE,1,2
FALSE,0,0
FALSE,2,2
FALSE,0,0
FALSE,1,0
FALSE,0,0
FALSE,0,2
FALSE,0,0
FALSE,0,4
FALSE,0,1
FALSE,1,3
FALSE,0,1
FALSE,2,1
FALSE,3,1
FALSE,2,0
FALSE,0,0
FALSE,0,2
FALSE,2,3
FALSE,2,0
FALSE,4,0
FALSE,1,0
FALSE,2,0
FALSE,0,1
FALSE,2,0
FALSE,5,0
FALSE,1,0
FALSE,0,1
FALSE,1,0
FALSE,0,0
FALSE,6,0
FALSE,1,0
FALSE,2,1
FALSE,1,1
FALSE,0,3
FALSE,4,0
FALSE,6,0
FALSE,1,1
FALSE,3,1
FALSE,0,0
FALSE,1,0
FALSE,2,0
FALSE,0,0
FALSE,0,1
FALSE,2,1
FALSE,1,0
FALSE,1,3
FALSE,1,1
FALSE,2,0
FALSE,5,0
FALSE,0,1
FALSE,2,1
FALSE,4,0
FALSE,2,3
FALSE,2,1
FALSE,0,1
FALSE,0,0
FALSE,3,3
FALSE,0,0
FALSE,0,0
FALSE,2,0
FALSE,0,1
FALSE,2,0
FALSE,2,1
FALSE,4,1
FALSE,5,1
FALSE,2,0
FALSE,1,2
FALSE,0,1
FALSE,0,2
FALSE,2,0
FALSE,1,2
FALSE,0,1
FALSE,2,0
FALSE,1,0
FALSE,2,0
FALSE,0,1
FALSE,3,0
FALSE,2,0
FALSE,1,0
FALSE,0,1
FALSE,1,2
FALSE,2,2
FALSE,1,0
FALSE,6,1
FALSE,4,1
FALSE,2,1
FALSE,1,1
FALSE,3,2
FALSE,3,1
FALSE,2,1
FALSE,0,1
FALSE,2,4
FALSE,2,1
FALSE,0,2
FALSE,0,0
FALSE,2,2
FALSE,1,1
FALSE,1,2
FALSE,4,3
FALSE,1,0
FALSE,0,0
FALSE,0,0
FALSE,1,0
FALSE,3,0
FALSE,0,1
FALSE,2,0
FALSE,1,1
FALSE,4,2
FALSE,2,3
FALSE,1,0
FALSE,4,2
FALSE,5,1
FALSE,2,1
FALSE,1,0
FALSE,0,1
FALSE,6,5
FALSE,2,0
FALSE,7,2
FALSE,4,1
FALSE,3,2
FALSE,0,1
FALSE,2,1
FALSE,0,2
FALSE,5,2
FALSE,1,1
FALSE,4,0
FALSE,1,2
FALSE,0,1
FALSE,2,2
FALSE,0,1
FALSE,0,1
FALSE,1,2
FALSE,9,0
FALSE,7,0
FALSE,2,1
FALSE,0,0
FALSE,2,1
FALSE,1,3
FALSE,1,5
FALSE,1,2
FALSE,3,1
FALSE,2,1
FALSE,0,2
FALSE,0,2
FALSE,6,0
FALSE,0,2
FALSE,0,1
FALSE,1,0
FALSE,3,2
FALSE,1,1
FALSE,2,0
FALSE,3,2
FALSE,1,0
FALSE,1,0
FALSE,0,0
FALSE,3,1
FALSE,1,2
FALSE,1,3
FALSE,2,0
FALSE,1,0
FALSE,4,1
FALSE,1,0
FALSE,6,0
FALSE,2,1
FALSE,2,0
FALSE,1,0
FALSE,3,0
FALSE,1,1
FALSE,1,1
FALSE,2,1
FALSE,1,1
FALSE,3,3
FALSE,4,0
FALSE,0,0
FALSE,2,4
FALSE,3,0
FALSE,3,0
FALSE,3,0
FALSE,0,2
FALSE,2,0
FALSE,3,1
FALSE,2,1
FALSE,0,0
FALSE,2,0
FALSE,1,0
FALSE,1,2
FALSE,1,1
FALSE,1,0
FALSE,0,2
FALSE,1,1
FALSE,1,1
FALSE,3,2
FALSE,0,0
FALSE,1,0
FALSE,1,0
FALSE,2,2
FALSE,3,0
FALSE,0,1
FALSE,3,1
FALSE,2,2
FALSE,1,1
FALSE,0,0
FALSE,2,2
FALSE,3,1
FALSE,1,2
FALSE,1,1
FALSE,5,0
FALSE,0,2
FALSE,1,0
FALSE,0,0
FALSE,3,0
FALSE,2,1
FALSE,2,1
FALSE,0,3
FALSE,1,0
FALSE,0,1
FALSE,1,2
FALSE,0,3
FALSE,0,0
FALSE,1,2
FALSE,0,2
FALSE,2,3
FALSE,6,1
FALSE,2,1
FALSE,1,1
FALSE,4,1
FALSE,2,1
FALSE,1,0
FALSE,0,1
FALSE,1,3
FALSE,1,0
FALSE,0,1
FALSE,2,3
FALSE,2,1
FALSE,1,3
FALSE,1,1
FALSE,0,0
FALSE,2,0
FALSE,1,1
FALSE,3,3
FALSE,1,0
FALSE,0,0
FALSE,2,5
FALSE,4,0
FALSE,3,1
FALSE,1,0
FALSE,0,2
FALSE,1,0
FALSE,3,0
FALSE,1,0
FALSE,2,0
FALSE,1,1
FALSE,1,0
FALSE,3,0
FALSE,1,2
FALSE,0,1
FALSE,0,1
FALSE,1,1
FALSE,0,1
FALSE,2,1
FALSE,4,1
FALSE,0,1
FALSE,1,1
FALSE,4,1
FALSE,2,0
FALSE,3,1
FALSE,3,2
FALSE,2,0
FALSE,2,7
FALSE,0,0
FALSE,2,1
FALSE,2,0
FALSE,2,1
FALSE,3,1
FALSE,1,2
FALSE,0,1
FALSE,3,1
FALSE,1,1
FALSE,4,0
FALSE,4,0
FALSE,2,1
FALSE,1,1
FALSE,1,0
FALSE,2,4
FALSE,4,0
FALSE,3,1
FALSE,0,2
FALSE,0,3
FALSE,1,0
FALSE,2,0
FALSE,0,0
FALSE,7,0
FALSE,1,0
FALSE,4,0
FALSE,1,6
FALSE,4,2
FALSE,1,0
FALSE,1,1
FALSE,1,2
FALSE,0,0
FALSE,1,0
FALSE,10,0
FALSE,3,0
FALSE,4,0
FALSE,2,1
FALSE,1,1
FALSE,3,0
FALSE,1,2
FALSE,1,1
FALSE,3,0
FALSE,2,1
FALSE,2,1
FALSE,3,1
FALSE,3,0
FALSE,3,1
FALSE,3,3
FALSE,5,0
FALSE,1,2
FALSE,1,0
FALSE,1,1
FALSE,1,1
FALSE,0,0
FALSE,2,0
FALSE,4,0
FALSE,4,0
FALSE,0,2
FALSE,1,0
FALSE,1,1
FALSE,1,0
FALSE,1,0
FALSE,5,0
FALSE,1,1
FALSE,1,3
FALSE,2,2
FALSE,2,1
FALSE,8,2
FALSE,0,1
FALSE,6,1
FALSE,1,0
FALSE,3,5
FALSE,1,0
FALSE,1,1
FALSE,0,0
FALSE,2,2
FALSE,2,1
FALSE,4,0
FALSE,3,0
FALSE,2,2
FALSE,1,0
FALSE,1,0
FALSE,6,2
FALSE,1,0
FALSE,5,1
FALSE,0,0
FALSE,2,3
FALSE,1,2
FALSE,1,1
FALSE,4,0
FALSE,1,2
FALSE,1,0
FALSE,0,1
FALSE,2,1
FALSE,2,1
FALSE,0,0
FALSE,0,2
FALSE,1,0
FALSE,1,0
FALSE,1,3
FALSE,5,0
FALSE,2,1
FALSE,5,0
FALSE,0,1
FALSE,1,1
FALSE,0,1
FALSE,0,0
FALSE,3,1
FALSE,0,2
FALSE,3,2
FALSE,0,1
FALSE,0,1
FALSE,6,0
FALSE,6,0
FALSE,3,3
FALSE,0,4
FALSE,1,3
FALSE,2,0
FALSE,1,0
FALSE,2,1
FALSE,1,2
FALSE,2,1
FALSE,2,0
FALSE,3,1
FALSE,2,0
FALSE,2,2
FALSE,2,2
FALSE,1,8
FALSE,3,3
FALSE,3,2
FALSE,1,2
FALSE,1,1
FALSE,1,2
FALSE,1,0
FALSE,1,4
FALSE,3,1
FALSE,2,0
FALSE,2,1
FALSE,0,1
FALSE,2,0
FALSE,1,1
FALSE,2,0
FALSE,2,3
FALSE,2,1
FALSE,1,0
FALSE,2,1
FALSE,2,2
FALSE,2,2
FALSE,2,0
FALSE,2,1
FALSE,0,1
FALSE,1,3
FALSE,1,0
FALSE,1,4
FALSE,0,3
FALSE,1,3
FALSE,0,1
FALSE,1,7
FALSE,0,4
FALSE,3,1
FALSE,2,0
FALSE,1,5
FALSE,2,0
FALSE,1,5
FALSE,0,11
FALSE,2,1
FALSE,1,0
FALSE,2,1
FALSE,3,1
FALSE,1,0
FALSE,3,0
FALSE,2,0
FALSE,3,1
FALSE,11,0
FALSE,0,0
FALSE,1,2
FALSE,2,1
FALSE,3,1
FALSE,6,0
FALSE,4,0
FALSE,0,2
FALSE,3,3
FALSE,2,1
FALSE,3,0
FALSE,2,0
FALSE,0,1
FALSE,0,1
FALSE,7,0
FALSE,1,1
FALSE,3,1
FALSE,1,2
FALSE,2,0
FALSE,3,0
FALSE,1,1
FALSE,0,2
FALSE,0,1
FALSE,3,0
FALSE,4,1
FALSE,1,2
FALSE,1,2
FALSE,0,1
FALSE,1,0
FALSE,1,1
FALSE,2,2
FALSE,3,0
FALSE,4,1
FALSE,2,3
FALSE,3,0
FALSE,1,1
FALSE,1,1
FALSE,2,1
FALSE,0,0
FALSE,3,0
FALSE,1,2
FALSE,0,0
FALSE,1,3
FALSE,1,0
FALSE,0,2
FALSE,1,0
FALSE,4,2
FALSE,1,2
FALSE,1,1
FALSE,2,1
FALSE,2,2
FALSE,2,0
FALSE,0,1
FALSE,6,2
FALSE,1,1
FALSE,3,0
FALSE,3,0
FALSE,1,0
FALSE,1,2
FALSE,2,1
FALSE,8,1
FALSE,1,0
FALSE,2,0
FALSE,3,0
FALSE,0,0
FALSE,4,0
FALSE,3,0
FALSE,3,1
FALSE,2,1
FALSE,1,2
FALSE,0,1
FALSE,1,2
FALSE,1,1
FALSE,2,2
FALSE,1,1
FALSE,4,1
FALSE,0,0
FALSE,2,2
FALSE,2,1
FALSE,1,0
FALSE,1,1
FALSE,1,0
FALSE,1,0
FALSE,2,2
FALSE,1,0
FALSE,0,3
FALSE,1,0
FALSE,2,2
FALSE,1,0
FALSE,1,1
FALSE,2,2
FALSE,2,1
FALSE,1,1
FALSE,3,0
FALSE,2,0
FALSE,0,5
FALSE,0,2
FALSE,0,0
FALSE,2,1
FALSE,1,1
FALSE,1,5
FALSE,0,1
FALSE,1,0
FALSE,3,2
FALSE,1,0
FALSE,0,0
FALSE,1,3
FALSE,3,1
FALSE,0,3
FALSE,4,0
FALSE,1,3
FALSE,1,1
FALSE,0,3
FALSE,0,1
FALSE,2,1
FALSE,3,2
FALSE,0,0
FALSE,1,1
FALSE,4,1
FALSE,1,2
FALSE,1,3
FALSE,1,1
FALSE,1,1
FALSE,2,1
FALSE,0,0
FALSE,0,2
FALSE,0,1
FALSE,1,2
FALSE,2,3
FALSE,1,2
FALSE,1,2
FALSE,8,0
FALSE,1,1
FALSE,2,0
FALSE,0,1
FALSE,0,2
FALSE,3,1
FALSE,1,2
FALSE,1,1
FALSE,1,1
FALSE,5,1
FALSE,2,2
FALSE,2,2
FALSE,2,2
FALSE,0,1
FALSE,0,5
FALSE,4,0
FALSE,4,1
FALSE,2,1
FALSE,0,3
FALSE,3,0
FALSE,1,2
FALSE,1,2
FALSE,1,0
FALSE,2,2
FALSE,2,0
FALSE,0,3
FALSE,0,2
FALSE,0,4
FALSE,1,0
FALSE,3,1
FALSE,0,3
FALSE,0,0
FALSE,3,2
FALSE,3,1
FALSE,1,1
FALSE,4,1
FALSE,1,0
FALSE,4,1
FALSE,3,0
FALSE,0,0
FALSE,3,0
FALSE,0,0
FALSE,1,3
FALSE,1,1
FALSE,3,1
FALSE,5,0
FALSE,2,0
FALSE,2,0
FALSE,1,1
FALSE,2,0
FALSE,5,0
FALSE,1,0
FALSE,2,2
FALSE,1,0
FALSE,2,1
FALSE,0,1
FALSE,1,2
FALSE,6,1
FALSE,0,1
FALSE,1,1
FALSE,3,0
FALSE,2,0
FALSE,1,0
FALSE,3,1
FALSE,3,0
FALSE,0,1
FALSE,4,0
FALSE,3,1
FALSE,4,0
FALSE,3,2
FALSE,1,2
FALSE,2,1
FALSE,1,0
FALSE,1,0
FALSE,2,1
FALSE,2,0
FALSE,1,0
FALSE,0,1
FALSE,1,0
FALSE,1,2
FALSE,2,0
FALSE,1,0
FALSE,2,2
FALSE,1,1
FALSE,1,5
FALSE,1,1
FALSE,0,2
FALSE,0,1
FALSE,0,2
FALSE,2,0
FALSE,0,3
FALSE,4,2
FALSE,1,1
FALSE,8,0
FALSE,3,1
FALSE,0,3
FALSE,1,2
FALSE,2,0
FALSE,2,0
FALSE,1,1
FALSE,1,4
FALSE,1,0
FALSE,1,6
FALSE,2,0
FALSE,2,4
FALSE,2,3
FALSE,1,2
FALSE,0,0
FALSE,1,0
FALSE,1,1
FALSE,1,4
FALSE,2,2
FALSE,0,2
FALSE,1,4
FALSE,2,0
FALSE,1,0
FALSE,1,0
FALSE,4,2
FALSE,3,0
FALSE,1,0
FALSE,1,0
FALSE,1,1
FALSE,2,1
FALSE,2,3
FALSE,0,0
FALSE,5,1
FALSE,0,1
FALSE,4,1
FALSE,6,0
FALSE,7,1
FALSE,7,0
FALSE,2,1
FALSE,1,3
FALSE,3,1
FALSE,2,2
FALSE,2,0
FALSE,2,2
FALSE,3,1
FALSE,2,0
FALSE,3,0
FALSE,2,1
FALSE,2,0
FALSE,3,0
FALSE,1,0
FALSE,1,1
FALSE,1,1
FALSE,0,1
FALSE,0,0
FALSE,1,2
FALSE,1,1
FALSE,0,1
FALSE,0,1
FALSE,1,0
FALSE,6,0
FALSE,1,1
FALSE,3,1
FALSE,1,0
FALSE,4,4
FALSE,0,2
FALSE,4,0
FALSE,7,1
FALSE,1,3
FALSE,7,0
FALSE,3,0
FALSE,2,4
FALSE,3,1
FALSE,2,2
FALSE,0,1
FALSE,7,1
FALSE,1,1
FALSE,0,1
FALSE,3,2
FALSE,1,1
FALSE,2,0
FALSE,1,1
FALSE,3,0
FALSE,7,0
FALSE,2,0
FALSE,2,3
FALSE,0,1
FALSE,2,1
FALSE,0,0
FALSE,0,0
FALSE,3,2
FALSE,0,2
FALSE,2,2
FALSE,1,1
FALSE,1,2
FALSE,2,0
FALSE,3,0
FALSE,1,0
FALSE,3,0
FALSE,2,1
FALSE,1,0
FALSE,1,0
FALSE,1,0
FALSE,0,0
FALSE,2,0
FALSE,2,4
FALSE,2,0
FALSE,2,1
FALSE,2,2
FALSE,3,3
FALSE,1,2
FALSE,3,0
FALSE,1,4
FALSE,0,2
FALSE,0,0
FALSE,2,2
FALSE,1,0
FALSE,2,2
FALSE,1,1
FALSE,1,0
FALSE,2,0
FALSE,3,1
FALSE,0,1
FALSE,0,2
FALSE,1,1
FALSE,4,1
FALSE,0,4
FALSE,5,0
FALSE,0,0
FALSE,1,3
FALSE,3,0
FALSE,6,2
FALSE,1,2
FALSE,2,1
FALSE,5,0
FALSE,1,1
FALSE,4,0
FALSE,2,0
FALSE,1,1
FALSE,3,0
FALSE,0,3
FALSE,1,1
FALSE,1,1
FALSE,0,1
FALSE,1,0
FALSE,2,0
FALSE,0,3
FALSE,0,0
FALSE,1,0
FALSE,0,0
FALSE,2,0
FALSE,1,2
FALSE,0,0
FALSE,1,1
FALSE,2,3
FALSE,1,1
FALSE,2,0
FALSE,1,1
FALSE,2,0
FALSE,2,0
FALSE,1,0
FALSE,1,0
FALSE,2,1
FALSE,1,1
FALSE,0,0
FALSE,2,1
FALSE,0,0
FALSE,1,1
FALSE,3,2
FALSE,2,2
FALSE,2,0
FALSE,1,1
FALSE,1,2
FALSE,0,0
FALSE,1,2
FALSE,0,1
FALSE,3,1
FALSE,1,1
FALSE,1,1
FALSE,1,1
FALSE,1,1
FALSE,1,3
FALSE,2,1
FALSE,2,0
FALSE,6,0
FALSE,2,1
FALSE,0,5
FALSE,1,1
FALSE,1,1
FALSE,0,1
FALSE,0,3
FALSE,2,0
FALSE,1,1
FALSE,1,1
FALSE,1,1
FALSE,0,1
FALSE,1,0
FALSE,1,0
FALSE,2,2
FALSE,2,1
FALSE,1,1
FALSE,2,2
FALSE,4,0
FALSE,4,1
FALSE,1,1
FALSE,2,1
FALSE,0,1
FALSE,3,2
FALSE,0,1
FALSE,1,2
FALSE,1,4
FALSE,3,0
FALSE,5,1
FALSE,2,1
FALSE,2,0
FALSE,2,0
FALSE,2,3
FALSE,0,1
FALSE,0,1
FALSE,0,0
FALSE,2,0
FALSE,0,1
FALSE,2,2
FALSE,0,2
FALSE,0,1
FALSE,3,2
FALSE,3,3
FALSE,1,1
FALSE,1,1
FALSE,2,1
FALSE,3,2
FALSE,0,2
FALSE,1,0
FALSE,7,0
FALSE,0,4
FALSE,1,1
FALSE,2,0
FALSE,1,4
FALSE,4,1
FALSE,2,3
FALSE,1,1
FALSE,1,1
FALSE,0,0
FALSE,1,1
FALSE,0,4
FALSE,1,1
FALSE,1,0
FALSE,0,1
FALSE,5,1
FALSE,1,0
FALSE,0,2
FALSE,1,3
FALSE,0,1
FALSE,1,0
FALSE,2,1
FALSE,0,0
FALSE,2,0
FALSE,4,2
FALSE,1,1
FALSE,2,2
FALSE,3,0
FALSE,1,0
FALSE,0,1
FALSE,1,1
FALSE,2,0
FALSE,1,1
FALSE,1,0
FALSE,1,3
FALSE,1,3
FALSE,4,0
FALSE,1,0
FALSE,2,0
FALSE,6,0
FALSE,0,4
FALSE,2,0
FALSE,4,0
FALSE,0,1
FALSE,2,1
FALSE,2,0
FALSE,3,0
FALSE,2,1
FALSE,2,2
FALSE,1,0
FALSE,2,0
FALSE,2,0
FALSE,0,1
FALSE,2,0
FALSE,0,2
FALSE,0,2
FALSE,2,0
FALSE,1,0
FALSE,0,3
FALSE,1,1
FALSE,0,1
FALSE,3,0
FALSE,3,1
FALSE,6,0
FALSE,0,3
FALSE,1,4
FALSE,6,0
FALSE,4,0
FALSE,4,0
FALSE,0,2
FALSE,2,4
FALSE,0,2
FALSE,0,1
FALSE,0,2
FALSE,0,0
FALSE,2,0
FALSE,8,1
FALSE,0,3
FALSE,3,1
FALSE,4,1
FALSE,1,1
FALSE,2,2
FALSE,5,0
FALSE,1,0
FALSE,1,1
FALSE,1,0
FALSE,3,0
FALSE,0,1
FALSE,1,0
FALSE,5,1
FALSE,1,2
FALSE,1,3
FALSE,7,0
FALSE,3,1
FALSE,2,1
FALSE,1,0
FALSE,1,0
FALSE,1,0
FALSE,2,0
FALSE,2,0
FALSE,0,4
FALSE,0,0
FALSE,3,2
FALSE,5,0
FALSE,1,1
FALSE,3,1
FALSE,9,0
FALSE,2,1
FALSE,1,2
FALSE,2,0
FALSE,1,2
FALSE,2,0
FALSE,0,2
FALSE,1,5
FALSE,1,0
FALSE,1,3
FALSE,1,1
FALSE,2,1
FALSE,1,0
FALSE,1,2
FALSE,0,1
FALSE,1,0
FALSE,3,0
FALSE,1,2
FALSE,3,2
FALSE,0,0
FALSE,3,1
FALSE,2,2
FALSE,0,2
FALSE,0,2
FALSE,0,1
FALSE,2,1
FALSE,0,0
FALSE,0,2
FALSE,3,0
FALSE,1,0
FALSE,1,1
FALSE,1,2
FALSE,4,0
FALSE,1,3
FALSE,1,0
FALSE,1,2
FALSE,1,0
FALSE,0,0
FALSE,0,3
FALSE,2,1
FALSE,0,2
FALSE,2,0
FALSE,0,0
FALSE,1,3
FALSE,1,0
FALSE,3,1
FALSE,0,0
FALSE,1,1
FALSE,1,2
FALSE,1,1
FALSE,2,0
FALSE,2,0
FALSE,2,2
FALSE,2,4
FALSE,2,1
FALSE,2,1
FALSE,0,0
FALSE,0,1
FALSE,1,1
FALSE,3,1
FALSE,0,2
FALSE,3,1
FALSE,1,2
FALSE,2,0
FALSE,2,0
FALSE,2,1
FALSE,3,0
FALSE,0,0
FALSE,0,0
FALSE,0,1
FALSE,2,2
FALSE,2,1
FALSE,1,0
FALSE,0,0
FALSE,1,1
FALSE,0,0
FALSE,1,0
FALSE,3,0
FALSE,4,0
FALSE,2,0
FALSE,2,0
FALSE,1,0
FALSE,3,2
FALSE,2,1
FALSE,3,0
FALSE,3,2
FALSE,0,1
FALSE,1,1
FALSE,0,0
FALSE,0,3
FALSE,2,2
FALSE,3,2
FALSE,1,1
FALSE,1,2
FALSE,2,1
FALSE,3,3
FALSE,0,0
FALSE,0,0
FALSE,0,1
FALSE,0,1
FALSE,1,1
FALSE,2,1
FALSE,2,1
FALSE,2,1
FALSE,4,1
FALSE,2,0
FALSE,4,0
FALSE,5,1
FALSE,2,1
FALSE,3,0
FALSE,2,1
FALSE,0,0
FALSE,1,0
FALSE,0,0
FALSE,0,1
FALSE,1,0
FALSE,2,1
FALSE,4,1
FALSE,1,1
FALSE,3,0
FALSE,5,2
FALSE,1,2
FALSE,3,1
FALSE,0,2
FALSE,2,1
FALSE,0,0
FALSE,3,1
FALSE,2,0
FALSE,4,1
FALSE,6,1
FALSE,3,1
FALSE,1,2
FALSE,2,1
FALSE,1,1
FALSE,2,2
FALSE,1,0
FALSE,2,0
FALSE,1,0
FALSE,0,0
FALSE,0,2
FALSE,3,0
FALSE,1,0
FALSE,0,2
FALSE,0,0
FALSE,1,5
FALSE,3,0
FALSE,1,3
FALSE,3,1
FALSE,4,3
FALSE,0,0
FALSE,1,0
FALSE,2,0
FALSE,1,1
FALSE,0,0
FALSE,2,1
FALSE,4,0
FALSE,2,4
FALSE,1,0
FALSE,4,1
FALSE,3,1
FALSE,1,0
FALSE,1,1
FALSE,3,0
FALSE,0,0
FALSE,0,2
FALSE,3,1
FALSE,0,1
FALSE,6,1
FALSE,8,1
FALSE,3,2
FALSE,1,2
FALSE,2,1
FALSE,2,1
FALSE,3,1
FALSE,2,0
FALSE,0,0
FALSE,3,1
FALSE,0,1
FALSE,0,0
FALSE,0,0
FALSE,0,0
FALSE,1,0
FALSE,2,0
FALSE,1,0
FALSE,2,0
FALSE,9,0
FALSE,6,0
FALSE,1,1
FALSE,2,5
FALSE,1,0
FALSE,0,1
FALSE,0,3
FALSE,1,1
FALSE,2,2
FALSE,1,2
FALSE,1,1
FALSE,2,2
FALSE,3,0
FALSE,4,0
FALSE,0,1
FALSE,2,1
FALSE,6,1
FALSE,4,6
FALSE,0,2
FALSE,1,0
FALSE,2,0
FALSE,3,1
FALSE,4,1
FALSE,0,0
FALSE,3,0
FALSE,4,0
FALSE,1,2
FALSE,3,0
FALSE,1,0
FALSE,1,2
FALSE,5,0
FALSE,7,0
FALSE,3,2
FALSE,1,0
FALSE,9,1
FALSE,2,0
FALSE,3,0
FALSE,0,3
FALSE,2,3
FALSE,1,0
FALSE,0,1
FALSE,3,0
FALSE,1,2
FALSE,0,0
FALSE,5,2
FALSE,4,1
FALSE,1,1
FALSE,1,1
FALSE,0,2
FALSE,0,1
FALSE,4,0
FALSE,0,2
FALSE,7,1
FALSE,0,1
FALSE,2,1
FALSE,3,0
FALSE,6,1
FALSE,5,0
FALSE,2,1
FALSE,0,1
FALSE,11,2
FALSE,2,0
FALSE,2,2
FALSE,0,2
FALSE,1,5
FALSE,1,1
FALSE,2,2
FALSE,3,1
FALSE,3,0
FALSE,2,1
FALSE,1,2
FALSE,2,1
FALSE,1,0
FALSE,3,0
FALSE,2,3
FALSE,0,1
FALSE,1,0
FALSE,5,0
FALSE,0,0
FALSE,2,1
FALSE,2,0
FALSE,3,1
FALSE,1,0
FALSE,1,1
FALSE,3,0
FALSE,0,1
FALSE,1,0
FALSE,1,0
FALSE,2,0
FALSE,2,1
FALSE,1,0
FALSE,0,1
FALSE,1,3
FALSE,1,1
FALSE,1,3
FALSE,1,2
FALSE,3,1
FALSE,3,0
FALSE,0,1
FALSE,1,0
FALSE,1,1
FALSE,12,0
FALSE,0,1
FALSE,0,1
FALSE,2,0
FALSE,0,1
FALSE,0,0
FALSE,4,2
FALSE,5,2
FALSE,10,2
FALSE,0,4
FALSE,3,0
FALSE,2,1
FALSE,3,1
FALSE,0,1
FALSE,1,1
FALSE,0,0
FALSE,3,1
FALSE,4,1
FALSE,2,1
FALSE,0,0
FALSE,2,0
FALSE,1,1
FALSE,1,0
FALSE,2,0
FALSE,1,0
FALSE,1,0
FALSE,3,0
FALSE,3,0
FALSE,3,0
FALSE,0,1
FALSE,2,0
FALSE,2,2
FALSE,3,0
FALSE,0,2
FALSE,2,1
FALSE,5,1
FALSE,4,1
FALSE,1,1
FALSE,1,3
FALSE,1,0
FALSE,0,1
FALSE,1,0
FALSE,2,0
FALSE,1,1
FALSE,0,0
FALSE,5,3
FALSE,2,0
FALSE,3,0
FALSE,1,0
FALSE,0,1
FALSE,0,1
FALSE,0,0
FALSE,0,0
FALSE,3,0
FALSE,3,3
FALSE,4,1
FALSE,3,0
FALSE,0,0
FALSE,1,1
FALSE,1,2
FALSE,2,1
FALSE,2,1
FALSE,0,1
FALSE,1,2
FALSE,0,4
FALSE,3,0
FALSE,2,0
FALSE,0,1
FALSE,1,0
FALSE,0,0
FALSE,1,2
FALSE,6,0
FALSE,2,2
FALSE,1,3
FALSE,3,1
FALSE,0,0
FALSE,0,0
FALSE,0,0
FALSE,2,1
FALSE,1,1
FALSE,1,0
FALSE,0,0
FALSE,5,0
FALSE,0,2
FALSE,4,2
FALSE,1,3
FALSE,6,0
FALSE,2,0
FALSE,1,0
FALSE,1,2
FALSE,4,1
FALSE,5,2
FALSE,1,1
FALSE,1,2
FALSE,2,1
FALSE,2,4
FALSE,1,1
FALSE,2,0
FALSE,2,1
FALSE,3,3
